Method,Name,Error,Occurrences
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 53.59s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 17.95s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 35.71s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 15.55s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 51.26s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 31.08s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 30.37s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 27.43s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 55.63s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 17.74s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 34.77s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 61.59s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 21.00s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 44.65s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 50.20s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 15.04s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 55.61s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 17.40s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 54.32s (Límite: 15.0s)'),2
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 63.15s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 36.89s (Límite: 15.0s)'),2
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 63.82s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 44.53s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 22.16s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 65.76s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 55.80s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 63.51s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 45.65s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 42.57s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 37.52s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 59.51s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 51.77s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 30.45s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 57.40s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 62.51s (Límite: 15.0s)'),1
